BOM combines:,,,,,,,,,,,,,,,,,,
axiom_beta_main_board_v0.37 R1.1,,,,,"Creation process: pcbom.ulp -> csv with all parameters, open csv, copy paste here, manually rearrange coloumns",,,,,,,,,,,,,
axiom_beta_interface_dummy_v0.13_r1.2,,,,,,,,,,,,,,,,,,
axiom_beta_power_board_v0.37 R1.2,,,,,,,,,,,,,,,,,,
axiom_beta_sensor_cmv12000_tht_v0.16_r1.4c,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
ID,Sub-ID,Qty,Description,Package,Schematic Reference,PCB,Side,Mount,Tele ID,Digi-Key,Farnell,Mouser,Manufacturer,MPN,Source,Packaging,Note,
52,11,17,MCP1727-ADJE/MF,DFN65P300X300X100-9N,"EE, IOE, IOW, MCN, MCS, MXN, MXS, NE, NN, NW, RFE, RFW, SE, SS, SW, VIO, WW",PB V0.37 R1.2,,SMT,,,1851979,,Microchip,MCP1727-ADJE/MF,apertus,,"IC, 1.5A, ADJ,Low Voltage, Low Quiescent Current LDO Regulator,DFN-8",
53,12,1,Ferrite Bead,0402,FB1,PB V0.37 R1.2,,SMT,,,, 81-BLM15PD600SN1D ,,,apertus,,"alternativ: 50ohm+ 100mhz, 1.5A+, DC R: kleiner 0.1 ohm aus Tele liste",
54,13,17,Ferrite Bead,0805,"L1, L2, L3, L4, L5, L6, L7, L8, L14, L15, L16, L17, L9, L10, L11, L12, L13",PB V0.37 R1.2,,SMT,,,2292366,,,,apertus,,"alternativ: 4A+, 75 ohm +  impedanz, 0.01ohm oder kleiner",
55,14,1,Ferrite Bead,0603,L18,PB V0.37 R1.2,,SMT,,,,81-BLM18SG330SN1D,,,Tele?,,"ferrite bead, eine spule, könnten auch tele standardteil nehmen ? 2A, 0603,  25+ ohm 100mhz, dac R sollte klein sein: kleiner 0.05 ohm",
56,15,2,Stecker,DF12(XX)-20DP-0.5V,"PB-NW, PB-SE",PB V0.37 R1.2,,SMT,,,,,,,apertus,,ersetzen mit neuen steckern,
57,16,1,"SSM3K56FS,LF",SOT416,Q1,PB V0.37 R1.2,,SMT,,,,,,,apertus,,"30 V, single N-channel Trench MOSFET, bertl will check if it works",
58,17,5,102k 0.1%,0402,"R2, R10, R37, R24, R32, ",PB V0.37 R1.2,,SMT,,,,,,,Tele,,,
59,18,5,20k 0.1%,0402,"R4, R38, R113, R128, R130",PB V0.37 R1.2,,SMT,,,,,,,Tele,,,
60,19,14,180k 0.1%,0402,"R6, R14, R18, R33, R35, R39, R41, R43, R45, R47, R49, R112, R127, R129",PB V0.37 R1.2,,SMT,,,,,,,Tele,,,
61,20,11,25k5 0.1%,0402,"R8, R16, R20, R34, R36, R40, R42, R44, R46, R48, R50",PB V0.37 R1.2,,SMT,,,,,,,Tele,,,
62,21,1,28k 0.1%,0402,R12,PB V0.37 R1.2,,SMT,,,,,,,Tele,,,
63,22,2,147k 0.1%,0402,"R22, R30",PB V0.37 R1.2,,SMT,,,,,,,Tele,,,
64,23,1,22k 1%,0402,R84,PB V0.37 R1.2,,SMT,,,,,,,Tele,,,
65,24,1,124k,0402,R26,PB V0.37 R1.2,,SMT,,,,,,,Tele,,,
66,25,1,19k6,0402,R28,PB V0.37 R1.2,,SMT,,,,,,,Tele,,,
67,26,22,0R02,1206,"R51, R52, R53, R54, R55, R56, R57, R58, R59, R60, R61, R62, R63, R64, R65, R66, R67, R68, R69, R70, R71, R72",PB V0.37 R1.2,,SMT,,,,756-LRMAM1206R02FT5,,,Tele?,,,
68,27,1,750R 1%,0402,R73,PB V0.37 R1.2,,SMT,,,,,,,Tele,,,
69,28,1,1k27 1%,0402,R74,PB V0.37 R1.2,,SMT,,,,,,,Tele,,,
70,29,1,430R 1%,0402,R75,PB V0.37 R1.2,,SMT,,,,,,,Tele,,,
71,30,1,0R,0402,R76,PB V0.37 R1.2,,SMT,,,,,,,Tele,,,
72,31,1,100R 1%,0402,R77,PB V0.37 R1.2,,SMT,,,,,,,Tele,,,
73,32,1,560R,0402,R78,PB V0.37 R1.2,,SMT,,,,,,,Tele,,,
74,33,1,5k6 1%,0402,R79,PB V0.37 R1.2,,SMT,,,,,,,Tele,,,
75,34,1,9k1 1%,0402,R80,PB V0.37 R1.2,,SMT,,,,,,,Tele,,,
76,35,1,2k0 1%,0402,R81,PB V0.37 R1.2,,SMT,,,,,,,Tele,,,
77,36,1,1k6 1%,0402,R82,PB V0.37 R1.2,,SMT,,,,,,,Tele,,,
78,37,1,2k7 1%,0402,R83,PB V0.37 R1.2,,SMT,,,,,,,Tele,,,
79,38,4,10k 1%,0402,"R85, R87, R109, R126",PB V0.37 R1.2,,SMT,,,,,,,Tele,,,
