BOM combines:					Creation process: pcbom.ulp -> csv with all parameters, open csv, copy paste here, manually rearrange coloumns							Legend:										
axiom_beta_main_board_v0.37 R1.1					axiom_beta_power_board_v0.37 R1.2							light orange lines are THT components										
axiom_beta_interface_dummy_v0.13_r1.2					axiom_beta_sensor_cmv12000_tht_v0.16_r1.4c							Red Text means something needs attention 										
																						
ID	Sub-ID	mehrfach	Qty	Description	Package	Schematic Reference (Silkscreen)	Combined Sch. Reference (*.asc)	PCB	Side	Mount	Tele ID	Digi-Key	Farnell	Mouser	Manufacturer	MPN	Source	Packaging	Stock (11/2020)	Note	Insurance Value (pc)	Datasheet
36	3	X	1	10k	0402	R1	R1_IB	IB V0.13 R1.3	TOP	SMT	015761						Tele	8mm Reel?		auch auf MB		
37	4	X	1	0R	0402	R2	R2_IB	IB V0.13 R1.3	TOP	SMT	015782						Tele	8mm Reel?		auch auf SB		
38	5	X	1	EEPROM	DFN200X300X100-9N?	UEP	UEP_IB	IB V0.13 R1.3	TOP	SMT						CAT24C16HU4I-GT3, EEPROM 16kbit, 400kHz UDFN-8	apertus	8mm Tape		CAT24C16HU4I-GT3, EEPROM 16kbit, 400kHz UDFN-8		
39	6		2	High Density B2B Connector	FX10A-100P/10-SV1	X-EAST, X-WEST	X-EAST_IB,  X-WEST_IB	IB V0.13 R1.3	BOT	SMT		H11246TR-ND					apertus	56mm Reel, 12mm Increment, 4mm gear				
40	7		2	High Density B2B Connector	FX10A-144S-SV	X-NORTH, X-SOUTH	X-NORTH_IB,  X-SOUTH_IB	IB V0.13 R1.3	TOP	SMT		H122464-ND					apertus	56mm Reel, 12mm Increment, 4mm gear				
41	8		4	HTSW-102-14-L-S-ND	PINHEADER	SW, NW, SE, NE	SW_IB,  NW_IB,  SE_IB,  NE_IB	IB V0.13 R1.3	BOT	THT					Samtec	HTSW-102-14-L-S-ND	apertus					
																						
42	1		20	10u 35V+ -20% +80% od. besser	0603	C1, C5, C6, C10, C15, C18, C21, C24, C39, C42, C45, C48, C51, C54, C57, C60, C63, C66, C69, C75	C1_PB,  C5_PB,  C6_PB,  C10_PB,  C15_PB,  C18_PB,  C21_PB,  C24_PB,  C39_PB,  C42_PB,  C45_PB,  C48_PB,  C51_PB,  C54_PB,  C57_PB,  C60_PB,  C63_PB,  C66_PB,  C69_PB,  C75_PB	PB V0.37 R1.2		SMT	020633						Tele		Bestand: 0	KERK SMD 10u 0603 T:X5R +-20% 35V 85°C		
43	2		4	10u 35V+ -20% +80% od. besser	1206	C2, C4, C7, C9	C2_PB,  C4_PB,  C7_PB,  C9_PB	PB V0.37 R1.2	TOP	SMT	020596						Tele			KERK SMD 10u 1206 T:X5R +-10% 50V 85°C		
44	3		2	1n 35V+ +-20% od. besser	0402	C3, C8	C3_PB,  C8_PB	PB V0.37 R1.2		SMT	020645						Tele		Bestand: 0	KERK SMD 1n 0402 T:X7R +-10% 50V 125°C		
